Manufacturer,AIRBUS,AIRBUS.1,AIRBUS.2,AIRBUS.3,AIRBUS.4,AIRBUS.5,AIRBUS.6,AIRBUS.7,AIRBUS.8,AIRBUS.9,AIRBUS.10,AIRBUS.11,AIRBUS.12,AIRBUS.13,AIRBUS.14,AIRBUS.15,BOEING,BOEING.1,BOEING.2,BOEING.3,BOEING.4,BOEING.5,BOEING.6,BOEING.7,BOEING.8,BOEING.9,BOEING.10,BOEING.11,BOEING.12,BOEING.13,BOEING.14,BOEING.15,BOEING.16,BOEING.17,BOEING.18,BOEING.19,BOEING.20,DOUG.,DOUG..1,DOUG..2,DOUG..3,McDON.,McDON..1,McDON..2,McDON..3,McDON..4,DOUG..4,DOUG..5,McDON..5,LOCKHD,ILYUSHIN,TUPOLEV,TUPOLEV.1,BAe,BAe.1,BAe.2,BAe.3,FOKKER,FOKKER.1
Manufacturer,AIRBUS,AIRBUS.1,AIRBUS.2,AIRBUS.3,AIRBUS.4,AIRBUS.5,AIRBUS.6,AIRBUS.7,AIRBUS.8,AIRBUS.9,AIRBUS.10,AIRBUS.11,AIRBUS.12,AIRBUS.13,AIRBUS.14,AIRBUS.15,BOEING,BOEING.1,BOEING.2,BOEING.3,BOEING.4,BOEING.5,BOEING.6,BOEING.7,BOEING.8,BOEING.9,BOEING.10,BOEING.11,BOEING.12,BOEING.13,BOEING.14,BOEING.15,BOEING.16,BOEING.17,BOEING.18,BOEING.19,BOEING.20,DOUG.,DOUG..1,DOUG..2,DOUG..3,McDON.,McDON..1,McDON..2,McDON..3,McDON..4,DOUG..4,DOUG..5,McDON..5,LOCKHD,ILYUSHIN,TUPOLEV,TUPOLEV.1,BAe,BAe.1,BAe.2,BAe.3,FOKKER,FOKKER.1
Type,A300-,A310-,A319-,A320-,A321-,A321-,A330-,A330-,A330-,A340-,A340-,A340-,A340-,A350-,A350-,A380-,717-,727-,737-,737-,737-,737-,737-,737-,737-,747-,747-,747-,757-,757-,767-,767-,767-,767-,777-,777-,787-,,,,,/DOUG.,/DOUG.,/DOUG.,/DOUG.,/DOUG.,,,/DOUG.,,,,,,,,,,
Model,600R,300,100,200,200,NEO,200,300,900NEO,200,300,500,600,900,1000,800,200,200Adv,200,300,400,500,600,700,800,100,200,400,200,300,200,200ER,300,300ER,200,300ER,900,DC 9-10,DC 9-30,DC 9-40,DC 9-50,MD-81,MD-82,MD-83,MD-87,MD-90-30,DC10-10,DC10-30,MD-11,L1011-100,Il-96M,Tu-134,Tu-154M,RJ70,RJ85,RJ100,RJ115,F70,F100
Max. power load (kg/kN),331.71,324.68,320.96,330.49,313.38,313.38,370.97,361.67,463.00,462.23,448.68,386.98,366.32,379.00,372.00,459.18,264.10,444.89,367.91,317.25,320.84,318.29,396.89,389.89,365.51,407.32,400.25,393.06,302.93,318.93,318.68,340.72,350.09,331.57,354.24,353.87,,323.35,395.16,375.25,394.92,370.91,365.76,376.06,342.50,318.14,357.40,372.37,345.16,376.78,410.09,352.32,320.51,374.25,338.66,355.05,369.62,298.21,349.76
Max. wing load (kg/m2),655.77,684.93,522.88,600.49,727.12,795.00,633.43,597.63,674.00,707.79,746.35,834.67,834.67,640.00,728.00,660.95,556.20,601.82,575.46,620.28,690.03,575.46,522.39,556.98,627.77,665.74,739.41,755.87,625.64,661.11,480.33,619.63,552.38,640.44,567.25,699.79,673.00,406.19,527.05,556.20,585.35,565.45,603.85,646.30,565.45,630.10,519.05,716.99,837.18,657.46,689.48,369.21,496.40,528.11,545.72,572.12,595.60,392.94,460.86
Thrust/Weight Ratio,0.3073,0.3140,0.3176,0.3084,0.3253, 0.29,0.2748,0.2819,0.26,0.2205,0.2272,0.2634,0.2783,0.27,0.28,0.2220,0.3860,0.2291,0.2771,0.3213,0.3177,0.3203,0.2568,0.2615,0.2789,0.2503,0.2547,0.2593,0.3365,0.3196,0.3199,0.2992,0.2912,0.3074,0.2878,0.3,0.253,0.315,0.258,0.272,0.258,0.275,0.279,0.271,0.298,0.320,0.285,0.274,0.295,0.271,0.249,0.289,0.318,0.2724,0.3010,0.2871,0.2758,0.3418,0.2915
Take off distance (m),2280,2290,1750,2180,2000,2210,2470,2320,2300,2790,3000,3100,3100,2600,2600,3000,1900,3033,1829,1939,2222,1832,2500,2600,2800,3050,3190,3310,2226,2550,1770,2670,2545,2926,2135,3050,2400,1615,1777,2091,2362,2195,2274,2551,1865,2135,2625,2996,2926,3292,3350,2400,2100,1440,1646,1829,1829,1296,1856
Cruise Speed (km/h),844.512,848.216,825.992,829.696,833.4,833.4,870.44,861.18,918.592,879.7,879.7,870.44,870.44,903.776,903.776,903.776,811.176,864.884,777.84,794.508,796.36,794.508,833.4,837.104,837.104,896.368,896.368,907.48,850.068,853.772,850.068,850.068,851.92,850.068,881.552,892.664,903.776,798.212,798.212,814.88,816.732,813.028,813.028,813.028,813.028,809.324,907.48,907.48,990.82,894.516,850.068,800.064,850.068,659.312,659.312,687.092,687.092,742.652,766.728
LRC Fuel consumption (kg/h),4300,3730,1980,2100,2100,2400,4400,4700,5200,5400,6500,8000,8400,5800,6100,11000,	2200,4309,2827,2250,2377,2100,1932,2070,2186.84,10660,10700,9950,3470,3098,4500,4500,4800,4940,6080,7500,5600,2304,2100,2280,2650,2560,2560,2518,2458,,6920,7313,7060,6895,6755,1635,3650,1635,1744,1944,2028,1475,1716
Range (km),8700.696,9400.752,7700.616,6800.544,4818.904,7408,11797.24,13049.192,13334.4,16360.568,14980.828,16668,14445.6,15371.6,16482.8,14816,2546.5,5185.6,5346.724,5902.324,5241.16,6389.4,5980.108,6009.74,5420.804,13019.56,13689.984,15390.12,7898.78,7370.96,8889.6,12038,9915.608,11297.2,8926.64,13649.24,14010.38,2427.972,3559.544,3315.08,3544.728,5280.052,4941.136,5828.244,5478.216,4198.484,10649,11852.8,15249.368,8676.62,11473.14,2870.6,6600.528,2987.276,2692.808,2107.576,2459.456,2000.16,2389.08
Fuel/pax/nm (kg),0.0529,0.0529,0.0553,0.0443,0.0465,0.0235,0.0460,0.0470,0.034,0.0502,0.0472,0.0554,0.0460,0.4523,0.472,0.3865,0.0684,0.1101,0.0632,0.0341,0.0395,0.0608,0.0534,0.0480,0.0465,0.0608,0.0575,0.0500,0.0540,0.0510,0.0305,0.0512,0.0425,0.0472,0.0394,0.0332,0.0341,0.0924,0.0860,0.0788,0.0739,0.0545,0.0549,0.0548,0.0718,0.0483,0.0480,0.0779,0.0543,0.0673,0.0520,0.1090,0.0696,0.0791,0.0662,0.0582,0.0434,0.0981,0.0604
Seats x Range (seatsx1000km),1970,1736,436,750,930,1526,3456,2791,3733,4124,4436,5509,6111,4842,6082,8519,269,604,404,675,730,340,638,757,858,4092,5320,6522,1377,1761,1288,2722,1943,2784,3347,5405,4063,165,309,327,338,448,588,718,500,644,2052,2756,4059,1945,3843,195,800,253,280,309,382,140,255
Fuel(l) per seat per 100km,3.2,3,2.95,2.43,2.50 ,1.98,2.9,3.11,2.48,3.25,3.49,3.24,3.12,2.39,2.58,3.16,2.9,2.8,3.26,3.14,3.21,3.18,3.15,2.71,2.44,3.47,3.34,3.16,3.02,2.40,3.36,3.34,2.56,3.09,3.01,2.9,2.49,4,4.5,4.1,3.7,3.6,3.6,3.7,3.2,3.1,5.9,6,5.7,4.7,5.0,6.0,4.7,4.0,3.8,3.7,3.7,3.3,3.5
